#datatype measurement,tag,field,field,field,field,field,tag,dateTime:RFC3339
#group false,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,false
m,location,wind_avg,precip,temp_avg,temp_max,temp_min,id,time
weather,Hayward,2.24,0,50,57,44,1577836800000000000,2023-11-05T00:00:00Z
weather,Hayward,3.8,0,51,60,44,1577923200000000000,2023-11-05T00:01:00Z
weather,Hayward,3.13,0,50,62,41,1578009600000000000,2023-11-05T00:02:00Z
weather,Hayward,4.47,0,51,59,43,1578096000000000000,2023-11-05T00:03:00Z
weather,Hayward,3.8,0,48,59,37,1578182400000000000,2023-11-05T00:04:00Z
weather,Hayward,3.8,0,49,60,38,1578268800000000000,2023-11-05T00:05:00Z
weather,Hayward,5.14,0,48,58,39,1578355200000000000,2023-11-05T00:06:00Z
weather,Hayward,5.14,0,51,57,42,1578441600000000000,2023-11-05T00:07:00Z
weather,Hayward,7.16,0.17,51,56,42,1578528000000000000,2023-11-05T00:08:00Z
weather,Hayward,4.92,0,47,58,39,1578614400000000000,2023-11-05T00:09:00Z
weather,Hayward,5.14,0.02,50,58,42,1578700800000000000,2023-11-05T00:10:00Z
weather,Hayward,5.59,0.01,46,55,37,1578787200000000000,2023-11-05T00:11:00Z
weather,Hayward,8.05,0.07,49,56,43,1578873600000000000,2023-11-05T00:12:00Z
weather,Hayward,5.14,0.05,52,55,42,1578960000000000000,2023-11-05T00:13:00Z
weather,Hayward,4.92,0,45,52,38,1579046400000000000,2023-11-05T00:14:00Z
weather,Hayward,11.41,0.79,48,52,43,1579132800000000000,2023-11-05T00:15:00Z
weather,Hayward,4.92,0,45,55,38,1579219200000000000,2023-11-05T00:16:00Z
weather,Hayward,6.93,0,48,58,43,1579305600000000000,2023-11-05T00:17:00Z
weather,Hayward,5.82,0,48,54,40,1579392000000000000,2023-11-05T00:18:00Z
weather,Hayward,3.13,0,49,56,45,1579478400000000000,2023-11-05T00:19:00Z
weather,Hayward,8.28,0.08,52,59,45,1579564800000000000,2023-11-05T00:20:00Z
weather,Hayward,4.03,0.01,55,60,51,1579651200000000000,2023-11-05T00:21:00Z
weather,Hayward,2.68,0,53,59,47,1579737600000000000,2023-11-05T00:22:00Z
weather,Hayward,2.68,0,53,63,45,1579824000000000000,2023-11-05T00:23:00Z
weather,Hayward,2.68,0.01,56,64,51,1579910400000000000,2023-11-05T00:24:00Z
weather,Hayward,6.04,0.18,58,60,47,1579996800000000000,2023-11-05T00:25:00Z
weather,Hayward,3.8,0,51,59,44,1580083200000000000,2023-11-05T00:26:00Z
weather,Hayward,4.7,0.01,54,60,47,1580169600000000000,2023-11-05T00:27:00Z
weather,Hayward,4.25,0,51,60,43,1580256000000000000,2023-11-05T00:28:00Z
weather,Hayward,3.58,0,53,61,47,1580342400000000000,2023-11-05T00:29:00Z
weather,Hayward,3.58,0,53,66,47,1580428800000000000,2023-11-05T00:30:00Z
weather,Hayward,4.03,0,56,65,45,1580515200000000000,2023-11-05T00:31:00Z
weather,Hayward,11.86,0,54,58,43,1580601600000000000,2023-11-05T00:32:00Z
weather,Hayward,7.61,0,46,57,35,1580688000000000000,2023-11-05T00:33:00Z
weather,Hayward,6.71,0,48,57,37,1580774400000000000,2023-11-05T00:34:00Z
weather,Hayward,4.03,0,46,60,37,1580860800000000000,2023-11-05T00:35:00Z
weather,Hayward,2.46,0,51,64,41,1580947200000000000,2023-11-05T00:36:00Z
weather,Hayward,3.8,0,53,66,41,1581033600000000000,2023-11-05T00:37:00Z
weather,Hayward,4.47,0,52,59,45,1581120000000000000,2023-11-05T00:38:00Z
weather,Hayward,17,0,53,63,42,1581206400000000000,2023-11-05T00:39:00Z
weather,Hayward,4.92,0,57,74,43,1581292800000000000,2023-11-05T00:40:00Z
weather,Hayward,4.47,0,60,72,48,1581379200000000000,2023-11-05T00:41:00Z
weather,Hayward,4.25,0,55,67,43,1581465600000000000,2023-11-05T00:42:00Z
weather,Hayward,6.26,0,51,57,44,1581552000000000000,2023-11-05T00:43:00Z
weather,Hayward,4.92,0,52,58,47,1581638400000000000,2023-11-05T00:44:00Z
weather,Hayward,4.47,0,52,63,42,1581724800000000000,2023-11-05T00:45:00Z
weather,Hayward,5.59,0,53,60,46,1581811200000000000,2023-11-05T00:46:00Z
weather,Hayward,4.47,0,53,70,43,1581897600000000000,2023-11-05T00:47:00Z
weather,Hayward,3.58,0,55,65,44,1581984000000000000,2023-11-05T00:48:00Z
weather,Hayward,4.25,0,51,64,41,1582070400000000000,2023-11-05T00:49:00Z
weather,Hayward,4.92,0,53,65,44,1582156800000000000,2023-11-05T00:50:00Z
weather,Hayward,4.03,0,58,74,46,1582243200000000000,2023-11-05T00:51:00Z
weather,Hayward,8.95,0,58,61,50,1582329600000000000,2023-11-05T00:52:00Z
weather,Hayward,8.5,0,53,59,48,1582416000000000000,2023-11-05T00:53:00Z
weather,Hayward,4.92,0,53,67,44,1582502400000000000,2023-11-05T00:54:00Z
weather,Hayward,4.25,0,57,77,43,1582588800000000000,2023-11-05T00:55:00Z
weather,Hayward,3.8,0,60,74,47,1582675200000000000,2023-11-05T00:56:00Z
weather,Hayward,4.92,0,60,74,49,1582761600000000000,2023-11-05T00:57:00Z
weather,Hayward,4.92,0,62,73,51,1582848000000000000,2023-11-05T00:58:00Z
weather,Hayward,12.3,0,54,58,49,1582934400000000000,2023-11-05T00:59:00Z
weather,Hayward,8.5,0,51,60,42,1583020800000000000,2023-11-05T01:00:00Z
weather,Hayward,8.95,0,59,73,47,1583107200000000000,2023-11-05T01:01:00Z
weather,Hayward,6.26,0,62,76,47,1583193600000000000,2023-11-05T01:02:00Z
weather,Hayward,5.37,0,60,77,48,1583280000000000000,2023-11-05T01:03:00Z
weather,Hayward,5.82,0,57,65,48,1583366400000000000,2023-11-05T01:04:00Z
weather,Hayward,8.28,0,56,61,50,1583452800000000000,2023-11-05T01:05:00Z
weather,Hayward,6.49,0.23,52,55,49,1583539200000000000,2023-11-05T01:06:00Z
weather,Hayward,4.92,0,52,60,45,1583625600000000000,2023-11-05T01:07:00Z
weather,Hayward,5.37,0,55,66,47,1583712000000000000,2023-11-05T01:08:00Z
weather,Hayward,5.14,0.01,59,70,52,1583798400000000000,2023-11-05T01:09:00Z
weather,Hayward,6.49,0.01,61,70,52,1583884800000000000,2023-11-05T01:10:00Z
weather,Hayward,5.37,0,57,70,47,1583971200000000000,2023-11-05T01:11:00Z
weather,Hayward,9.62,0,56,66,46,1584057600000000000,2023-11-05T01:12:00Z
weather,Hayward,8.72,0.48,53,54,49,1584144000000000000,2023-11-05T01:13:00Z
weather,Hayward,9.17,0.44,51,54,46,1584230400000000000,2023-11-05T01:14:00Z
weather,Hayward,7.16,0.24,47,56,42,1584316800000000000,2023-11-05T01:15:00Z
weather,Hayward,5.82,0,48,57,40,1584403200000000000,2023-11-05T01:16:00Z
weather,Hayward,6.49,0,49,55,45,1584489600000000000,2023-11-05T01:17:00Z
weather,Hayward,5.82,0,52,61,45,1584576000000000000,2023-11-05T01:18:00Z
weather,Hayward,6.04,0,53,64,43,1584662400000000000,2023-11-05T01:19:00Z
weather,Hayward,4.47,0.01,53,63,45,1584748800000000000,2023-11-05T01:20:00Z
weather,Hayward,5.37,0,56,69,48,1584835200000000000,2023-11-05T01:21:00Z
weather,Hayward,8.05,0,54,55,48,1584921600000000000,2023-11-05T01:22:00Z
weather,Hayward,7.83,0.07,52,58,48,1585008000000000000,2023-11-05T01:23:00Z
weather,Hayward,8.5,0.03,51,57,43,1585094400000000000,2023-11-05T01:24:00Z
weather,Hayward,6.04,0.04,48,58,37,1585180800000000000,2023-11-05T01:25:00Z
weather,Hayward,8.28,0,50,58,39,1585267200000000000,2023-11-05T01:26:00Z
weather,Hayward,5.59,0.1,53,59,49,1585353600000000000,2023-11-05T01:27:00Z
weather,Hayward,7.16,0.03,55,62,51,1585440000000000000,2023-11-05T01:28:00Z
weather,Hayward,6.93,0,56,63,51,1585526400000000000,2023-11-05T01:29:00Z
weather,Hayward,7.38,0,56,64,49,1585612800000000000,2023-11-05T01:30:00Z
weather,Hayward,6.71,0,54,61,47,1585699200000000000,2023-11-05T01:31:00Z
weather,Hayward,8.5,0,53,65,41,1585785600000000000,2023-11-05T01:32:00Z
weather,Hayward,8.95,0,53,61,44,1585872000000000000,2023-11-05T01:33:00Z
weather,Hayward,9.4,0.42,53,60,49,1585958400000000000,2023-11-05T01:34:00Z
weather,Hayward,6.93,0.41,53,55,46,1586044800000000000,2023-11-05T01:35:00Z
weather,Hayward,3.58,0.41,48,52,43,1586131200000000000,2023-11-05T01:36:00Z
weather,Hayward,7.38,0,49,63,39,1586217600000000000,2023-11-05T01:37:00Z
weather,Hayward,6.26,0,55,62,47,1586304000000000000,2023-11-05T01:38:00Z
weather,Hayward,6.93,0,57,64,54,1586390400000000000,2023-11-05T01:39:00Z
weather,Hayward,8.28,0,58,64,53,1586476800000000000,2023-11-05T01:40:00Z
weather,Hayward,8.5,0,55,60,52,1586563200000000000,2023-11-05T01:41:00Z
weather,Hayward,7.16,0,56,62,53,1586649600000000000,2023-11-05T01:42:00Z
weather,Hayward,6.26,0,57,68,51,1586736000000000000,2023-11-05T01:43:00Z
weather,Hayward,6.26,0,59,77,46,1586822400000000000,2023-11-05T01:44:00Z
weather,Hayward,7.16,0,62,77,49,1586908800000000000,2023-11-05T01:45:00Z
weather,Hayward,8.5,0,57,62,54,1586995200000000000,2023-11-05T01:46:00Z
weather,Hayward,9.17,0,56,62,54,1587081600000000000,2023-11-05T01:47:00Z
weather,Hayward,8.5,0,58,64,54,1587168000000000000,2023-11-05T01:48:00Z
weather,Hayward,8.05,0,57,65,52,1587254400000000000,2023-11-05T01:49:00Z
weather,Hayward,10.29,0,57,63,54,1587340800000000000,2023-11-05T01:50:00Z
weather,Hayward,9.17,0,56,65,54,1587427200000000000,2023-11-05T01:51:00Z
weather,Hayward,7.16,0,59,71,51,1587513600000000000,2023-11-05T01:52:00Z
weather,Hayward,6.71,0,61,70,56,1587600000000000000,2023-11-05T01:53:00Z
weather,Hayward,4.03,0,63,76,52,1587686400000000000,2023-11-05T01:54:00Z
weather,Hayward,4.92,0,65,78,54,1587772800000000000,2023-11-05T01:55:00Z
weather,Hayward,5.82,0,60,67,53,1587859200000000000,2023-11-05T01:56:00Z
weather,Hayward,6.71,0,60,72,52,1587945600000000000,2023-11-05T01:57:00Z
weather,Hayward,6.04,0,64,77,56,1588032000000000000,2023-11-05T01:58:00Z
weather,Hayward,8.05,0,59,65,55,1588118400000000000,2023-11-05T01:59:00Z
weather,Hayward,7.61,0,59,69,54,1588204800000000000,2023-11-05T02:00:00Z
weather,Hayward,8.72,0,59,71,50,1588291200000000000,2023-11-05T02:01:00Z
weather,Hayward,8.5,0,61,70,55,1588377600000000000,2023-11-05T02:02:00Z
weather,Hayward,8.5,0,60,67,51,1588464000000000000,2023-11-05T02:03:00Z
weather,Hayward,6.93,0,59,74,48,1588550400000000000,2023-11-05T02:04:00Z
weather,Hayward,9.17,0,60,70,48,1588636800000000000,2023-11-05T02:05:00Z
weather,Hayward,6.93,0,62,77,51,1588723200000000000,2023-11-05T02:06:00Z
weather,Hayward,5.82,0,66,85,52,1588809600000000000,2023-11-05T02:07:00Z
weather,Hayward,6.04,0,68,88,52,1588896000000000000,2023-11-05T02:08:00Z
weather,Hayward,9.17,0,60,69,51,1588982400000000000,2023-11-05T02:09:00Z
weather,Hayward,8.5,0,60,68,56,1589068800000000000,2023-11-05T02:10:00Z
weather,Hayward,9.17,0,61,77,52,1589155200000000000,2023-11-05T02:11:00Z
weather,Hayward,9.62,0.07,61,67,56,1589241600000000000,2023-11-05T02:12:00Z
weather,Hayward,7.61,0,60,68,51,1589328000000000000,2023-11-05T02:13:00Z
weather,Hayward,6.93,0.04,62,69,57,1589414400000000000,2023-11-05T02:14:00Z
weather,Hayward,9.62,0.02,62,69,56,1589500800000000000,2023-11-05T02:15:00Z
weather,Hayward,8.5,0,62,73,55,1589587200000000000,2023-11-05T02:16:00Z
weather,Hayward,11.18,0.26,67,78,58,1589673600000000000,2023-11-05T02:17:00Z
weather,Hayward,10.51,0.22,62,67,57,1589760000000000000,2023-11-05T02:18:00Z
weather,Hayward,10.96,0.08,60,67,55,1589846400000000000,2023-11-05T02:19:00Z
weather,Hayward,8.95,0,60,69,56,1589932800000000000,2023-11-05T02:20:00Z
weather,Hayward,8.05,0,62,75,55,1590019200000000000,2023-11-05T02:21:00Z
weather,Hayward,9.4,0,60,69,54,1590105600000000000,2023-11-05T02:22:00Z
weather,Hayward,7.16,0,62,76,51,1590192000000000000,2023-11-05T02:23:00Z
weather,Hayward,6.26,0,64,85,53,1590278400000000000,2023-11-05T02:24:00Z
weather,Hayward,6.49,0,73,92,60,1590364800000000000,2023-11-05T02:25:00Z
weather,Hayward,4.7,0,74,92,62,1590451200000000000,2023-11-05T02:26:00Z
weather,Hayward,6.71,0,76,87,57,1590537600000000000,2023-11-05T02:27:00Z
weather,Hayward,8.5,0,64,77,55,1590624000000000000,2023-11-05T02:28:00Z
weather,Hayward,10.51,0,63,73,58,1590710400000000000,2023-11-05T02:29:00Z
weather,Hayward,8.72,0,67,75,60,1590796800000000000,2023-11-05T02:30:00Z
weather,Hayward,7.83,0,63,69,58,1590883200000000000,2023-11-05T02:31:00Z
weather,Hayward,7.16,0,63,74,58,1590969600000000000,2023-11-05T02:32:00Z
weather,Hayward,6.71,0,70,88,58,1591056000000000000,2023-11-05T02:33:00Z
weather,Hayward,6.49,0,77,93,61,1591142400000000000,2023-11-05T02:34:00Z
weather,Hayward,7.38,0,71,85,59,1591228800000000000,2023-11-05T02:35:00Z
weather,Hayward,13.65,0,62,65,58,1591315200000000000,2023-11-05T02:36:00Z
weather,Hayward,14.99,0,61,67,57,1591401600000000000,2023-11-05T02:37:00Z
weather,Hayward,13.65,0,60,67,53,1591488000000000000,2023-11-05T02:38:00Z
weather,Hayward,8.72,0,62,75,50,1591574400000000000,2023-11-05T02:39:00Z
weather,Hayward,6.71,0,66,84,53,1591660800000000000,2023-11-05T02:40:00Z
weather,Hayward,6.04,0,68,83,57,1591747200000000000,2023-11-05T02:41:00Z
weather,Hayward,6.71,0,66,80,58,1591833600000000000,2023-11-05T02:42:00Z
weather,Hayward,13.2,0,63,69,58,1591920000000000000,2023-11-05T02:43:00Z
weather,Hayward,10.96,0,62,69,58,1592006400000000000,2023-11-05T02:44:00Z
weather,Hayward,7.83,0,64,72,60,1592092800000000000,2023-11-05T02:45:00Z
weather,Hayward,9.84,0,64,71,58,1592179200000000000,2023-11-05T02:46:00Z
weather,Hayward,9.17,0,63,72,56,1592265600000000000,2023-11-05T02:47:00Z
weather,Hayward,7.16,0,66,83,54,1592352000000000000,2023-11-05T02:48:00Z
weather,Hayward,7.61,0,73,88,59,1592438400000000000,2023-11-05T02:49:00Z
weather,Hayward,8.5,0,68,77,56,1592524800000000000,2023-11-05T02:50:00Z
weather,Hayward,6.93,0,63,75,57,1592611200000000000,2023-11-05T02:51:00Z
weather,Hayward,7.61,0,64,71,59,1592697600000000000,2023-11-05T02:52:00Z
weather,Hayward,7.38,0,65,79,59,1592784000000000000,2023-11-05T02:53:00Z
weather,Hayward,9.4,0,66,78,58,1592870400000000000,2023-11-05T02:54:00Z
weather,Hayward,8.05,0,66,78,60,1592956800000000000,2023-11-05T02:55:00Z
weather,Hayward,8.95,0,65,75,59,1593043200000000000,2023-11-05T02:56:00Z
weather,Hayward,9.62,0,65,76,58,1593129600000000000,2023-11-05T02:57:00Z
weather,Hayward,9.62,0,65,75,59,1593216000000000000,2023-11-05T02:58:00Z
weather,Hayward,11.86,0,62,70,58,1593302400000000000,2023-11-05T02:59:00Z
weather,Hayward,7.83,0,63,76,54,1593388800000000000,2023-11-05T03:00:00Z
weather,Hayward,6.93,0,68,84,57,1593475200000000000,2023-11-05T03:01:00Z
weather,Hayward,7.61,0,64,75,57,1593561600000000000,2023-11-05T03:02:00Z
weather,Hayward,9.62,0,63,74,57,1593648000000000000,2023-11-05T03:03:00Z
weather,Hayward,7.38,0,63,73,57,1593734400000000000,2023-11-05T03:04:00Z
weather,Hayward,6.04,0,65,82,55,1593820800000000000,2023-11-05T03:05:00Z
weather,Hayward,5.82,0,67,75,58,1593907200000000000,2023-11-05T03:06:00Z
weather,Hayward,11.41,0,63,70,57,1593993600000000000,2023-11-05T03:07:00Z
weather,Hayward,8.72,0,63,76,56,1594080000000000000,2023-11-05T03:08:00Z
weather,Hayward,7.61,0,65,78,56,1594166400000000000,2023-11-05T03:09:00Z
weather,Hayward,5.59,0,65,79,56,1594252800000000000,2023-11-05T03:10:00Z
weather,Hayward,5.82,0,66,79,55,1594339200000000000,2023-11-05T03:11:00Z
weather,Hayward,5.14,0,68,82,58,1594425600000000000,2023-11-05T03:12:00Z
weather,Hayward,6.04,0,69,85,59,1594512000000000000,2023-11-05T03:13:00Z
weather,Hayward,9.17,0,65,73,58,1594598400000000000,2023-11-05T03:14:00Z
weather,Hayward,8.95,0,64,74,59,1594684800000000000,2023-11-05T03:15:00Z
weather,Hayward,8.5,0,65,76,59,1594771200000000000,2023-11-05T03:16:00Z
weather,Hayward,9.84,0,64,73,59,1594857600000000000,2023-11-05T03:17:00Z
weather,Hayward,8.72,0,65,76,60,1594944000000000000,2023-11-05T03:18:00Z
weather,Hayward,8.72,0,65,77,59,1595030400000000000,2023-11-05T03:19:00Z
weather,Hayward,9.84,0,65,73,59,1595116800000000000,2023-11-05T03:20:00Z
weather,Hayward,10.74,0,63,70,59,1595203200000000000,2023-11-05T03:21:00Z
weather,Hayward,8.5,0,63,72,58,1595289600000000000,2023-11-05T03:22:00Z
weather,Hayward,9.4,0,65,76,60,1595376000000000000,2023-11-05T03:23:00Z
weather,Hayward,7.61,0,65,75,59,1595462400000000000,2023-11-05T03:24:00Z
weather,Hayward,9.62,0,63,70,58,1595548800000000000,2023-11-05T03:25:00Z
weather,Hayward,6.93,0,65,78,60,1595635200000000000,2023-11-05T03:26:00Z
weather,Hayward,8.72,0,65,75,59,1595721600000000000,2023-11-05T03:27:00Z
weather,Hayward,8.5,0,65,76,58,1595808000000000000,2023-11-05T03:28:00Z
weather,Hayward,7.61,0,63,72,58,1595894400000000000,2023-11-05T03:29:00Z
weather,Hayward,7.83,0,63,73,58,1595980800000000000,2023-11-05T03:30:00Z
weather,Hayward,8.5,0,64,73,59,1596067200000000000,2023-11-05T03:31:00Z
weather,Hayward,7.61,0,63,71,58,1596153600000000000,2023-11-05T03:32:00Z
weather,Hayward,7.16,0,65,73,59,1596240000000000000,2023-11-05T03:33:00Z
weather,Hayward,6.26,0,65,74,59,1596326400000000000,2023-11-05T03:34:00Z
weather,Hayward,7.16,0,67,77,60,1596412800000000000,2023-11-05T03:35:00Z
weather,Hayward,10.29,0,65,70,61,1596499200000000000,2023-11-05T03:36:00Z
weather,Hayward,11.41,0,63,67,60,1596585600000000000,2023-11-05T03:37:00Z
weather,Hayward,8.5,0,66,76,61,1596672000000000000,2023-11-05T03:38:00Z
weather,Hayward,6.93,0,68,80,61,1596758400000000000,2023-11-05T03:39:00Z
weather,Hayward,6.71,0,68,82,60,1596844800000000000,2023-11-05T03:40:00Z
weather,Hayward,6.93,0,69,83,59,1596931200000000000,2023-11-05T03:41:00Z
weather,Hayward,8.95,0,68,80,59,1597017600000000000,2023-11-05T03:42:00Z
weather,Hayward,9.62,0,67,76,61,1597104000000000000,2023-11-05T03:43:00Z
weather,Hayward,6.71,0,68,79,61,1597190400000000000,2023-11-05T03:44:00Z
weather,Hayward,4.92,0,72,94,61,1597276800000000000,2023-11-05T03:45:00Z
weather,Hayward,5.82,0,83,103,71,1597363200000000000,2023-11-05T03:46:00Z
weather,Hayward,5.59,0,83,97,69,1597449600000000000,2023-11-05T03:47:00Z
weather,Hayward,7.61,0.09,82,96,71,1597536000000000000,2023-11-05T03:48:00Z
weather,Hayward,5.14,0,77,94,70,1597622400000000000,2023-11-05T03:49:00Z
weather,Hayward,4.25,0,76,91,68,1597708800000000000,2023-11-05T03:50:00Z
weather,Hayward,5.14,0,75,84,66,1597795200000000000,2023-11-05T03:51:00Z
weather,Hayward,7.38,0,70,79,59,1597881600000000000,2023-11-05T03:52:00Z
weather,Hayward,5.37,0,70,83,64,1597968000000000000,2023-11-05T03:53:00Z
weather,Hayward,4.7,0,72,84,64,1598054400000000000,2023-11-05T03:54:00Z
weather,Hayward,5.82,0,71,83,62,1598140800000000000,2023-11-05T03:55:00Z
weather,Hayward,6.04,0,73,85,64,1598227200000000000,2023-11-05T03:56:00Z
weather,Hayward,8.72,0,68,79,62,1598313600000000000,2023-11-05T03:57:00Z
weather,Hayward,8.28,0,65,69,59,1598400000000000000,2023-11-05T03:58:00Z
weather,Hayward,7.61,0,63,74,58,1598486400000000000,2023-11-05T03:59:00Z
weather,Hayward,6.26,0,65,76,59,1598572800000000000,2023-11-05T04:00:00Z
weather,Hayward,7.83,0,65,75,59,1598659200000000000,2023-11-05T04:01:00Z
weather,Hayward,7.38,0,65,75,59,1598745600000000000,2023-11-05T04:02:00Z
weather,Hayward,6.26,0,65,77,58,1598832000000000000,2023-11-05T04:03:00Z
weather,Hayward,6.93,0,64,74,61,1598918400000000000,2023-11-05T04:04:00Z
weather,Hayward,8.95,0,66,74,62,1599004800000000000,2023-11-05T04:05:00Z
weather,Hayward,6.93,0,64,70,61,1599091200000000000,2023-11-05T04:06:00Z
